Year,Electricity,Agriculture,Stationary Energy,Transport,Fugitives,Industrial Processes,Waste,LULUCF,Total Emissions
1990,129.53,94.96,66.17,61.37,40.31,25.11,23.46,178.27,619.18
1991,131.68,94.38,66.95,60.8,39.66,24.31,23.38,157.77,598.9300000000001
1992,134.54,91.51,67.47,61.81,41.6,24.89,23.12,113.48,558.42
1993,135.46,88.87,69.37,63.38,40.43,24.64,22.93,92.16,537.24
1994,137.03,88.78,69.35,64.87,38.25,24.89,22.16,81.79,527.12
1995,142.65,85.39,71.24,68.22,39.93,24.65,22.09,60.7,514.87
1996,147.68,87.27,71.25,70.09,39.48,24.34,20.22,55.73,516.06
1997,152.71,88.43,73.21,71.39,42.49,24.42,19.91,41.82,514.3800000000001
1998,165.34,88.49,73.35,71.6,43.73,25.47,19.09,44.98,532.05
1999,171.99,88.28,74.46,72.43,40.55,25.91,19.21,59.47,552.3000000000001
2000,175.68,91.72,74.8,74.03,44.01,25.77,18.57,69.37,573.95
2001,183.23,90.84,75.13,73.97,44.0,26.6,18.87,78.07,590.71
2002,184.86,90.39,76.66,75.49,42.72,27.06,18.92,78.96,595.0600000000001
2003,186.59,84.93,78.91,77.87,40.97,29.53,16.31,79.27,594.38
2004,194.85,87.97,80.51,80.98,40.8,30.77,15.87,46.72,578.47
2005,196.67,88.89,82.24,82.02,42.79,30.13,15.71,74.97,613.4200000000001
2006,201.23,87.91,81.43,83.27,43.64,30.62,15.46,106.23,649.79
2007,204.03,84.37,81.92,85.13,46.77,32.66,15.85,80.2,630.9300000000001
2008,205.87,81.23,84.38,86.93,46.07,32.67,16.37,65.81,619.3299999999999
2009,211.63,81.26,82.9,87.16,45.75,30.5,16.19,57.24,612.63
2010,205.03,78.78,83.22,88.62,45.51,33.45,16.04,63.29,613.9399999999999
2011,198.4,83.4,85.46,91.25,43.96,34.26,15.58,30.06,582.37
2012,199.04,84.76,89.01,91.79,44.69,31.9,14.25,4.06,559.5
2013,186.97,85.23,93.63,93.13,45.43,29.69,13.27,14.58,561.9300000000001
2014,180.73,85.58,93.32,93.09,43.39,29.61,13.22,4.23,543.17
2015,188.96,82.54,89.73,95.23,48.56,30.48,12.71,-9.65,538.5600000000001
2016,194.74,81.18,90.48,96.23,49.85,30.56,13.07,-60.52,495.59000000000003
2017,189.78,85.93,94.2,97.85,51.83,31.17,13.32,-29.39,534.69
2018,183.66,85.0,97.48,100.15,54.88,31.82,12.81,-58.36,507.43999999999994
2019,179.35,79.53,98.91,100.2,56.22,32.54,13.24,-63.5,496.4899999999999
2020,172.05,77.37,99.68,93.18,53.86,31.89,13.53,-61.23,480.33000000000004
2021,163.29,82.39,102.31,90.1,48.63,32.88,13.45,-88.53,444.5200000000001
2022,156.77,83.22,102.11,89.76,48.08,32.97,13.86,-88.37,438.4
2023,153.34,85.52,102.05,96.65,47.77,32.75,13.86,-88.37,443.56999999999994
